"Protein Group","Uniprot Accession","Gene Symbol","Protein Description","ProteinProphet Probability","SVM Classification","SVM Probability","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","Unique Peptides","Coverage (%)"
1385,"B4DY72","HSPH1","Heat shock protein 105 kDa ",0.0658,"Non-Exosome","0.739"," 1.309 +/- 0.651"," 0.389","0.409 +/- 0.230","-1.290",9,0
1386,"Q13557-10","CAMK2D","Isoform Delta 10 of Calcium/calmodulin-dependent protein kinase type II subunit delta ",0.9999,"Non-Exosome","0.861"," 0.862 +/- 0.052","-0.213","0.461 +/- 0.129","-1.116",2,7.3
1387,"P34932","HSPA4","Heat shock 70 kDa protein 4 ",1,"Non-Exosome","0.917"," 0.648 +/- 0.011","-0.627","0.380 +/- 0.020","-1.395",12,24
1388,"Q92598-2","HSPH1","Isoform Beta of Heat shock protein 105 kDa ",1,"Non-Exosome","0.860"," 0.941 +/- 0.363","-0.088","0.381 +/- 0.172","-1.390",15,22.6
1389,"Q92621","NUP205","Nuclear pore complex protein Nup205 ",1,"Non-Exosome","0.920"," 0.449 +/- 0.030","-1.157","0.244 +/- 0.013","-2.035",10,5.5
1390,"H7C3W2","PXDN","Peroxidasin homolog (Fragment) ",0.0291,"Non-Exosome","0.869"," 0.815 +/- 0.050","-0.295","0.473 +/- 0.155","-1.079",4,0
1391,"Q92626","PXDN","Peroxidasin homolog ",1,"Exosome","0.814"," 2.682 +/- 0.575"," 1.423","1.015 +/- 0.103"," 0.021",30,31.6
1392,"Q92688","ANP32B","Acidic leucine-rich nuclear phosphoprotein 32 family member B ",1,"Non-Exosome","0.820"," 0.332 +/- 0.028","-1.589","0.135 +/- 0.025","-2.889",2,8
1393,"Q92692-2","PVRL2","Isoform Alpha of Nectin-2 ",1,"Non-Exosome","0.772"," 0.965 +/- 0.022","-0.051","0.588 +/- 0.185","-0.766",4,6.5
1394,"Q92878-2","RAD50","Isoform 2 of DNA repair protein RAD50 ",1,"Non-Exosome","0.903"," 0.380 +/- 0.000","-1.396","0.210 +/- 0.010","-2.252",2,4.1
1395,"Q92896-2","GLG1","Isoform 2 of Golgi apparatus protein 1 ",1,"Non-Exosome","0.924"," 0.382 +/- 0.138","-1.386","0.312 +/- 0.038","-1.678",2,5.6
1396,"Q92900-2","UPF1","Isoform 2 of Regulator of nonsense transcripts 1 ",1,"Non-Exosome","0.862"," 0.948 +/- 0.122","-0.077","0.318 +/- 0.042","-1.651",4,5.9
1397,"Q96AE4-2","FUBP1","Isoform 2 of Far upstream element-binding protein 1 ",0.9999,"Non-Exosome","0.881"," 0.280 +/- 0.060","-1.837","0.220 +/- 0.040","-2.184",3,4.2
1398,"Q92945","KHSRP","Far upstream element-binding protein 2 ",1,"Non-Exosome","0.898"," 0.378 +/- 0.117","-1.402","0.201 +/- 0.011","-2.313",4,8.7
1399,"Q96I24","FUBP3","Far upstream element-binding protein 3 ",1,"Non-Exosome","0.887"," 0.648 +/- 0.078","-0.625","0.529 +/- 0.134","-0.918",3,4.4
1400,"O14787-2","TNPO2","Isoform 2 of Transportin-2 ",0.02,"Non-Exosome","0.924"," 0.431 +/- 0.116","-1.213","0.269 +/- 0.154","-1.896",4,0
1401,"Q92973-2","TNPO1","Isoform 2 of Transportin-1 ",1,"Non-Exosome","0.917"," 0.665 +/- 0.133","-0.590","0.336 +/- 0.102","-1.575",8,10
1402,"Q92974-2","ARHGEF2","Isoform 2 of Rho guanine nucleotide exchange factor 2 ",1,"Non-Exosome","0.920"," 0.526 +/- 0.039","-0.927","0.252 +/- 0.052","-1.986",3,3.1
1403,"Q969H8","C19orf10","UPF0556 protein C19orf10 ",1,"Non-Exosome","0.816"," 0.324 +/- 0.126","-1.627","0.134 +/- 0.066","-2.902",3,20.2
1404,"Q969V3-2","NCLN","Isoform 2 of Nicalin ",1,"Non-Exosome","0.926"," 0.541 +/- 0.274","-0.887","0.380 +/- 0.243","-1.398",4,9.1
1405,"Q96A33-2","CCDC47","Isoform 2 of Coiled-coil domain-containing protein 47 ",1,"Non-Exosome","0.909"," 0.415 +/- 0.039","-1.270","0.217 +/- 0.069","-2.202",4,7.9
1406,"Q96A65-2","EXOC4","Isoform 2 of Exocyst complex component 4 ",1,"Non-Exosome","0.596"," 1.105 +/- 0.725"," 0.144","0.760 +/- 0.630","-0.396",1,8.2
1407,"Q96AC1-2","FERMT2","Isoform 2 of Fermitin family homolog 2 ",1,"Exosome","0.835"," 1.770 +/- 0.815"," 0.824","1.393 +/- 0.690"," 0.478",5,8.2
1408,"Q96AP7","ESAM","Endothelial cell-selective adhesion molecule ",1,"Non-Exosome","0.648"," 0.882 +/- 0.238","-0.180","0.848 +/- 0.292","-0.239",2,9.5
1409,"Q96AY3","FKBP10","Peptidyl-prolyl cis-trans isomerase FKBP10 ",1,"Non-Exosome","0.924"," 0.569 +/- 0.021","-0.813","0.389 +/- 0.041","-1.362",4,17
1410,"Q96B97-2","SH3KBP1","Isoform 2 of SH3 domain-containing kinase-binding protein 1 ",1,"Exosome","0.766"," 1.862 +/- 0.138"," 0.897","0.997 +/- 0.367","-0.005",4,9.4
1411,"Q96C19","EFHD2","EF-hand domain-containing protein D2 ",1,"Non-Exosome","0.923"," 0.598 +/- 0.018","-0.741","0.303 +/- 0.043","-1.721",3,17.1
1412,"Q96C36","PYCR2","Pyrroline-5-carboxylate reductase 2 ",1,"Non-Exosome","0.882"," 0.328 +/- 0.132","-1.610","0.190 +/- 0.020","-2.396",3,8.4
1413,"Q96CS7-2","PLEKHB2","Isoform 2 of Pleckstrin homology domain-containing family B member 2 ",1,"Non-Exosome","0.599"," 1.083 +/- 0.057"," 0.115","0.770 +/- 0.140","-0.377",2,11.8
1414,"Q96CW1-2","AP2M1","Isoform 2 of AP-2 complex subunit mu ",1,"Non-Exosome","0.601"," 1.234 +/- 0.117"," 0.304","0.672 +/- 0.028","-0.574",5,10.2
1415,"Q96DV4","MRPL38","39S ribosomal protein L38; mitochondrial ",1,"Non-Exosome","0.925"," 0.500 +/- 0.055","-1.000","0.269 +/- 0.021","-1.896",5,15.5
1416,"Q96E11-8","MRRF","Isoform 8 of Ribosome-recycling factor; mitochondrial ",0.0049,"Non-Exosome","0.925"," 0.590 +/- 0.360","-0.761","0.350 +/- 0.130","-1.515",1,0
1417,"Q96E11-2","MRRF","Isoform 2 of Ribosome-recycling factor; mitochondrial ",1,"Non-Exosome","0.925"," 0.590 +/- 0.360","-0.761","0.350 +/- 0.130","-1.515",1,5.7
1418,"Q96ER9-2","CCDC51","Isoform 2 of Coiled-coil domain-containing protein 51 ",1,"Non-Exosome","0.896"," 0.782 +/- 0.282","-0.354","0.292 +/- 0.168","-1.773",2,11.6
1419,"Q96EY1-2","DNAJA3","Isoform 2 of DnaJ homolog subfamily A member 3; mitochondrial ",1,"Non-Exosome","0.767"," 0.238 +/- 0.108","-2.074","0.128 +/- 0.068","-2.971",2,5.3
1420,"Q96EY5","MVB12A","Multivesicular body subunit 12A ",1,"Exosome","0.721"," 1.305 +/- 0.035"," 0.384","1.214 +/- 0.171"," 0.280",4,24.5
1421,"Q96FW1","OTUB1","Ubiquitin thioesterase OTUB1 ",1,"Non-Exosome","0.847"," 0.946 +/- 0.126","-0.080","0.430 +/- 0.004","-1.219",4,19.1
1422,"Q96GQ7","DDX27","Probable ATP-dependent RNA helicase DDX27 ",1,"Non-Exosome","0.812"," 1.072 +/- 0.854"," 0.100","0.422 +/- 0.276","-1.245",4,7.7
1423,"Q96H55-4","MYO19","Isoform 4 of Unconventional myosin-XIX ",1,"Non-Exosome","0.847"," 0.218 +/- 0.078","-2.201","0.280 +/- 0.040","-1.837",2,1
1424,"Q96HC4-4","PDLIM5","Isoform 4 of PDZ and LIM domain protein 5 ",0.0243,"Non-Exosome","0.905"," 0.639 +/- 0.034","-0.646","0.463 +/- 0.023","-1.110",4,0
1425,"Q96HC4","PDLIM5","PDZ and LIM domain protein 5 ",1,"Non-Exosome","0.910"," 0.648 +/- 0.025","-0.625","0.433 +/- 0.053","-1.206",5,11.7
1426,"Q86YB8","ERO1LB","ERO1-like protein beta ",0.8922,"Non-Exosome","0.922"," 0.623 +/- 0.217","-0.682","0.332 +/- 0.108","-1.592",1,4.3
1427,"Q96HE7","ERO1L","ERO1-like protein alpha ",1,"Non-Exosome","0.918"," 0.411 +/- 0.048","-1.281","0.242 +/- 0.064","-2.045",9,23.7
1428,"Q96HS1-2","PGAM5","Isoform 2 of Serine/threonine-protein phosphatase PGAM5; mitochondrial ",1,"Non-Exosome","0.882"," 0.314 +/- 0.068","-1.670","0.196 +/- 0.014","-2.352",4,24.3
1429,"Q96I99","SUCLG2","Succinyl-CoA ligase [GDP-forming] subunit beta; mitochondrial ",1,"Non-Exosome","0.806"," 0.195 +/- 0.001","-2.361","0.208 +/- 0.038","-2.263",5,14.4
1430,"Q96KG7","MEGF10","Multiple epidermal growth factor-like domains protein 10 ",1,"Exosome","0.729"," 1.847 +/- 0.235"," 0.886","0.902 +/- 0.150","-0.148",5,6.9
1431,"Q96KP1","EXOC2","Exocyst complex component 2 ",1,"Non-Exosome","0.901"," 0.450 +/- 0.190","-1.152","0.200 +/- 0.050","-2.322",2,3.7
1432,"Q96N66-2","MBOAT7","Isoform 2 of Lysophospholipid acyltransferase 7 ",1,"Non-Exosome","0.881"," 0.685 +/- 0.265","-0.546","0.527 +/- 0.013","-0.925",2,10.8
1433,"Q96NE9-2","FRMD6","Isoform 2 of FERM domain-containing protein 6 ",1,"Non-Exosome","0.732"," 0.842 +/- 0.338","-0.249","0.742 +/- 0.172","-0.431",3,7.7
1434,"Q96P70","IPO9","Importin-9 ",1,"Non-Exosome","0.877"," 0.885 +/- 0.525","-0.176","0.350 +/- 0.280","-1.515",2,2.5
1435,"Q96PK6","RBM14","RNA-binding protein 14 ",1,"Non-Exosome","0.928"," 0.469 +/- 0.109","-1.092","0.296 +/- 0.104","-1.758",7,18.4
1436,"K7EK60","FMNL1","Formin-like protein 1 ",0.005,"Non-Exosome","0.764"," 0.895 +/- 0.215","-0.160","0.650 +/- 0.070","-0.621",2,0
1437,"O95466-2","FMNL1","Isoform 2 of Formin-like protein 1 ",0.9958,"Non-Exosome","0.780"," 0.970 +/- 0.290","-0.044","0.570 +/- 0.010","-0.811",3,2.1
1438,"Q96PY5-3","FMNL2","Isoform 2 of Formin-like protein 2 ",1,"Non-Exosome","0.919"," 0.632 +/- 0.292","-0.661","0.375 +/- 0.035","-1.415",5,4.2
1439,"Q96Q11-2","TRNT1","Isoform 2 of CCA tRNA nucleotidyltransferase 1; mitochondrial ",1,"Non-Exosome","0.927"," 0.435 +/- 0.115","-1.201","0.295 +/- 0.265","-1.761",2,3.9
1440,"Q96QD8-2","SLC38A2","Isoform 2 of Sodium-coupled neutral amino acid transporter 2 ",1,"Non-Exosome","0.683"," 0.915 +/- 0.255","-0.128","0.768 +/- 0.032","-0.382",2,3.9
1441,"Q96RT1-2","ERBB2IP","Isoform 2 of Protein LAP2 ",1,"Non-Exosome","0.878"," 0.880 +/- 0.660","-0.184","0.320 +/- 0.270","-1.644",2,3.1
1442,"Q96S97","MYADM","Myeloid-associated differentiation marker ",1,"Non-Exosome","0.882"," 0.773 +/- 0.007","-0.371","0.462 +/- 0.032","-1.114",3,16.5
1443,"O95155-2","UBE4B","Isoform 2 of Ubiquitin conjugation factor E4 B ",0.0084,"Non-Exosome","0.907"," 0.605 +/- 0.065","-0.725","0.475 +/- 0.115","-1.074",1,0
1444,"Q96TA1-2","FAM129B","Isoform 2 of Niban-like protein 1 ",1,"Non-Exosome","0.799"," 0.936 +/- 0.097","-0.096","0.559 +/- 0.060","-0.840",7,9.4
1445,"Q99426","TBCB","Tubulin-folding cofactor B ",1,"Non-Exosome","0.906"," 0.698 +/- 0.028","-0.520","0.272 +/- 0.012","-1.876",2,12.8
1446,"Q99442","SEC62","Translocation protein SEC62 ",1,"Non-Exosome","1.000"," 0.498 +/- 0.018","-1.007","0.372 +/- 0.132","-1.425",3,11.5
1447,"Q99460-2","PSMD1","Isoform 2 of 26S proteasome non-ATPase regulatory subunit 1 ",1,"Non-Exosome","0.908"," 0.728 +/- 0.058","-0.458","0.329 +/- 0.005","-1.605",6,7.7
1448,"Q99497","PARK7","Protein DJ-1 ",1,"Non-Exosome","0.808"," 0.882 +/- 0.318","-0.180","0.578 +/- 0.362","-0.792",3,21.9
1449,"Q99536","VAT1","Synaptic vesicle membrane protein VAT-1 homolog ",1,"Non-Exosome","0.869"," 0.847 +/- 0.226","-0.240","0.243 +/- 0.058","-2.040",5,17.6
1450,"Q99613","EIF3C","Eukaryotic translation initiation factor 3 subunit C ",1,"Non-Exosome","0.901"," 0.738 +/- 0.165","-0.438","0.278 +/- 0.010","-1.846",10,10.9
1451,"Q99614","TTC1","Tetratricopeptide repeat protein 1 ",1,"Non-Exosome","0.889"," 0.395 +/- 0.115","-1.340","0.185 +/- 0.095","-2.434",2,19.2
1452,"Q99615","DNAJC7","DnaJ homolog subfamily C member 7 ",1,"Non-Exosome","0.804"," 0.946 +/- 0.172","-0.080","0.541 +/- 0.033","-0.886",8,19.8
1453,"Q99623","PHB2","Prohibitin-2 ",1,"Non-Exosome","0.930"," 0.468 +/- 0.098","-1.096","0.329 +/- 0.035","-1.603",12,55.2
1454,"Q99714-2","HSD17B10","Isoform 2 of 3-hydroxyacyl-CoA dehydrogenase type-2 ",1,"Non-Exosome","0.894"," 0.802 +/- 0.108","-0.318","0.354 +/- 0.012","-1.500",5,29.8
1455,"Q99720-3","SIGMAR1","Isoform 3 of Sigma non-opioid intracellular receptor 1 ",1,"Non-Exosome","0.910"," 0.668 +/- 0.078","-0.583","0.418 +/- 0.018","-1.260",2,11.5
1456,"Q99816","TSG101","Tumor susceptibility gene 101 protein ",1,"Exosome","1.000"," 3.116 +/- 0.713"," 1.640","2.301 +/- 0.031"," 1.202",10,29.7
1457,"Q99829","CPNE1","Copine-1 ",1,"Non-Exosome","0.837"," 1.005 +/- 0.207"," 0.007","0.407 +/- 0.011","-1.297",4,7.7
1458,"Q99832-3","CCT7","Isoform 3 of T-complex protein 1 subunit eta ",1,"Non-Exosome","0.915"," 0.630 +/- 0.064","-0.666","0.413 +/- 0.061","-1.276",13,30.5
1459,"Q99873-2","PRMT1","Isoform 2 of Protein arginine N-methyltransferase 1 ",1,"Non-Exosome","0.922"," 0.517 +/- 0.138","-0.953","0.257 +/- 0.052","-1.962",4,12.9
1460,"Q99961","SH3GL1","Endophilin-A2 ",1,"Non-Exosome","0.672"," 1.132 +/- 0.080"," 0.179","0.635 +/- 0.053","-0.656",6,22.6
1461,"Q9BPW8","NIPSNAP1","Protein NipSnap homolog 1 ",1,"Non-Exosome","0.894"," 0.352 +/- 0.035","-1.506","0.201 +/- 0.031","-2.313",2,8.6
1462,"Q9BQ67","GRWD1","Glutamate-rich WD repeat-containing protein 1 ",1,"Non-Exosome","0.918"," 0.425 +/- 0.125","-1.234","0.240 +/- 0.060","-2.059",2,6.1
1463,"Q9BQA1","WDR77","Methylosome protein 50 ",1,"Non-Exosome","0.873"," 0.723 +/- 0.085","-0.468","0.528 +/- 0.092","-0.923",2,12.6
1464,"Q13748-2","TUBA3C","Isoform 2 of Tubulin alpha-3C/D chain ",0.0048,"Non-Exosome","0.902"," 0.349 +/- 0.015","-1.517","0.217 +/- 0.018","-2.201",13,0
1465,"Q13748","TUBA3C","Tubulin alpha-3C/D chain ",0.0048,"Non-Exosome","0.883"," 0.334 +/- 0.013","-1.580","0.190 +/- 0.010","-2.399",14,0
1466,"Q71U36-2","TUBA1A","Isoform 2 of Tubulin alpha-1A chain ",0.0048,"Non-Exosome","0.884"," 0.340 +/- 0.027","-1.557","0.188 +/- 0.016","-2.408",20,0
1467,"Q9H853","TUBA4B","Putative tubulin-like protein alpha-4B ",0.0126,"Non-Exosome","0.911"," 0.376 +/- 0.052","-1.412","0.230 +/- 0.028","-2.120",4,0
1468,"A6NHL2-2","TUBAL3","Isoform 2 of Tubulin alpha chain-like 3 ",0.0264,"Non-Exosome","0.860"," 0.331 +/- 0.012","-1.593","0.164 +/- 0.012","-2.608",3,0
1469,"P68363","TUBA1B","Tubulin alpha-1B chain ",0.999,"Non-Exosome","0.882"," 0.338 +/- 0.027","-1.564","0.187 +/- 0.014","-2.422",21,51.9
1470,"P68366-2","TUBA4A","Isoform 2 of Tubulin alpha-4A chain ",1,"Non-Exosome","0.895"," 0.365 +/- 0.015","-1.455","0.199 +/- 0.024","-2.329",18,45
1471,"Q9BQE3","TUBA1C","Tubulin alpha-1C chain ",1,"Non-Exosome","0.884"," 0.340 +/- 0.027","-1.557","0.188 +/- 0.016","-2.408",20,47.7
1472,"Q9BQG0-2","MYBBP1A","Isoform 2 of Myb-binding protein 1A ",1,"Non-Exosome","0.902"," 0.526 +/- 0.051","-0.927","0.209 +/- 0.039","-2.261",6,8.5
1473,"Q9BRA2","TXNDC17","Thioredoxin domain-containing protein 17 ",1,"Non-Exosome","0.614"," 1.493 +/- 0.507"," 0.579","0.518 +/- 0.105","-0.948",2,18.7
1474,"Q9BRG1","VPS25","Vacuolar protein-sorting-associated protein 25 ",1,"Exosome","0.741"," 1.309 +/- 0.661"," 0.388","1.288 +/- 0.802"," 0.365",3,30.6
1475,"P43034","PAFAH1B1","Platelet-activating factor acetylhydrolase IB subunit alpha ",1,"Non-Exosome","0.876"," 0.405 +/- 0.255","-1.304","0.170 +/- 0.050","-2.556",2,14.4
1476,"Q9BS26","ERP44","Endoplasmic reticulum resident protein 44 ",1,"Non-Exosome","0.898"," 0.771 +/- 0.119","-0.376","0.380 +/- 0.129","-1.395",8,24.1
1477,"Q9BSJ8-2","ESYT1","Isoform 2 of Extended synaptotagmin-1 ",1,"Non-Exosome","0.877"," 0.536 +/- 0.036","-0.899","0.177 +/- 0.010","-2.501",9,9.2
1478,"Q9BT22","ALG1","Chitobiosyldiphosphodolichol beta-mannosyltransferase ",1,"Non-Exosome","0.647"," 0.298 +/- 0.098","-1.749","0.075 +/- 0.065","-3.737",2,13.8
1479,"Q9BT78","COPS4","COP9 signalosome complex subunit 4 ",1,"Non-Exosome","0.718"," 1.055 +/- 0.385"," 0.077","0.618 +/- 0.188","-0.695",3,7.1
1480,"Q9BTT0-3","ANP32E","Isoform 3 of Acidic leucine-rich nuclear phosphoprotein 32 family member E ",1,"Non-Exosome","0.805"," 0.375 +/- 0.205","-1.415","0.125 +/- 0.045","-3.000",2,21.9
1481,"Q9BUJ2-2","HNRNPUL1","Isoform 2 of Heterogeneous nuclear ribonucleoprotein U-like protein 1 ",1,"Non-Exosome","0.857"," 0.734 +/- 0.396","-0.447","0.565 +/- 0.310","-0.824",4,7.5
1482,"Q9BUN8-2","DERL1","Isoform 2 of Derlin-1 ",1,"Non-Exosome","0.925"," 0.583 +/- 0.337","-0.778","0.322 +/- 0.108","-1.636",1,11.9
1483,"P06213-2","INSR","Isoform Short of Insulin receptor ",1,"Non-Exosome","0.919"," 0.578 +/- 0.072","-0.792","0.420 +/- 0.020","-1.252",2,1.3
1484,"Q9BUQ8","DDX23","Probable ATP-dependent RNA helicase DDX23 ",1,"Non-Exosome","0.885"," 0.363 +/- 0.027","-1.462","0.184 +/- 0.006","-2.442",2,8.7
1485,"Q9BV40","VAMP8","Vesicle-associated membrane protein 8 ",1,"Non-Exosome","0.793"," 0.823 +/- 0.027","-0.280","0.648 +/- 0.042","-0.627",2,31
1486,"Q9BVG4","PBDC1","Protein PBDC1 ",1,"Non-Exosome","0.916"," 0.368 +/- 0.002","-1.444","0.258 +/- 0.062","-1.957",2,15.5
1487,"Q9BW27","NUP85","Nuclear pore complex protein Nup85 ",1,"Non-Exosome","0.909"," 0.521 +/- 0.104","-0.940","0.221 +/- 0.089","-2.176",5,13
1488,"Q9BWM7","SFXN3","Sideroflexin-3 ",1,"Non-Exosome","0.916"," 0.570 +/- 0.034","-0.810","0.248 +/- 0.038","-2.009",7,29.5
1489,"Q9BWS9-2","CHID1","Isoform 2 of Chitinase domain-containing protein 1 ",1,"Non-Exosome","0.878"," 0.328 +/- 0.038","-1.610","0.185 +/- 0.075","-2.434",2,4.1
1490,"Q9BXJ9","NAA15","N-alpha-acetyltransferase 15; NatA auxiliary subunit ",1,"Non-Exosome","0.926"," 0.567 +/- 0.023","-0.819","0.322 +/- 0.048","-1.633",8,7.5
1491,"Q9BXP5-2","SRRT","Isoform 2 of Serrate RNA effector molecule homolog ",1,"Non-Exosome","0.853"," 0.293 +/- 0.013","-1.769","0.168 +/- 0.018","-2.578",3,8.6
1492,"Q9BXS5-2","AP1M1","Isoform 2 of AP-1 complex subunit mu-1 ",1,"Non-Exosome","0.916"," 0.520 +/- 0.080","-0.943","0.238 +/- 0.002","-2.069",3,8
1493,"Q9BXW7-2","CECR5","Isoform 1 of Cat eye syndrome critical region protein 5 ",1,"Non-Exosome","0.917"," 0.372 +/- 0.122","-1.425","0.255 +/- 0.015","-1.971",3,3.8
1494,"Q9BY44","EIF2A","Eukaryotic translation initiation factor 2A ",1,"Non-Exosome","0.917"," 0.346 +/- 0.049","-1.532","0.311 +/- 0.036","-1.686",3,6.4
1495,"Q9BYG3","NIFK","MKI67 FHA domain-interacting nucleolar phosphoprotein ",1,"Non-Exosome","0.858"," 0.460 +/- 0.220","-1.120","0.155 +/- 0.135","-2.690",2,15.2
1496,"Q9BZE1","MRPL37","39S ribosomal protein L37; mitochondrial ",1,"Non-Exosome","0.910"," 0.710 +/- 0.115","-0.494","0.310 +/- 0.145","-1.690",3,9.7
1497,"Q9BZE4","GTPBP4","Nucleolar GTP-binding protein 1 ",1,"Non-Exosome","0.919"," 0.391 +/- 0.050","-1.353","0.254 +/- 0.054","-1.975",6,9.9
1498,"Q9BZF1-2","OSBPL8","Isoform 2 of Oxysterol-binding protein-related protein 8 ",1,"Non-Exosome","0.885"," 0.380 +/- 0.180","-1.396","0.550 +/- 0.110","-0.862",2,3.3
1499,"Q9BZX2","UCK2","Uridine-cytidine kinase 2 ",1,"Non-Exosome","0.928"," 0.540 +/- 0.050","-0.889","0.315 +/- 0.005","-1.667",2,8.4
1500,"Q9GZM7-3","TINAGL1","Isoform 3 of Tubulointerstitial nephritis antigen-like ",1,"Exosome","0.659"," 1.747 +/- 0.193"," 0.805","0.803 +/- 0.142","-0.316",3,10.1
1501,"Q9GZT3-2","SLIRP","Isoform 2 of SRA stem-loop-interacting RNA-binding protein; mitochondrial ",1,"Non-Exosome","0.695"," 0.138 +/- 0.022","-2.862","0.185 +/- 0.065","-2.434",2,40.6
1502,"Q9H0A0-2","NAT10","Isoform 2 of N-acetyltransferase 10 ",1,"Non-Exosome","0.894"," 0.421 +/- 0.034","-1.249","0.191 +/- 0.004","-2.390",5,4.3
1503,"G3V2P7","KLC1","Kinesin light chain 1 (Fragment) ",0.005,"Non-Exosome","0.899"," 0.635 +/- 0.095","-0.655","0.490 +/- 0.170","-1.029",1,0
1504,"Q07866-10","KLC1","Isoform D of Kinesin light chain 1 ",1,"Non-Exosome","0.926"," 0.539 +/- 0.124","-0.892","0.289 +/- 0.049","-1.792",3,5.7
1505,"Q9H0B6","KLC2","Kinesin light chain 2 ",1,"Non-Exosome","0.883"," 0.438 +/- 0.012","-1.190","0.177 +/- 0.073","-2.501",3,6.3
1506,"Q03518","TAP1","Antigen peptide transporter 1 ",0.9981,"Non-Exosome","0.827"," 0.405 +/- 0.005","-1.304","0.135 +/- 0.015","-2.889",2,2.1
1507,"Q9H0D6","XRN2","5'-3' exoribonuclease 2 ",1,"Non-Exosome","0.783"," 0.402 +/- 0.045","-1.316","0.115 +/- 0.032","-3.120",4,3.8
1508,"Q9H0H5","RACGAP1","Rac GTPase-activating protein 1 ",1,"Non-Exosome","0.844"," 0.896 +/- 0.018","-0.159","0.484 +/- 0.011","-1.046",9,15.2
1509,"Q9H330-2","TMEM245","Isoform 2 of Transmembrane protein 245 ",1,"Non-Exosome","0.695"," 0.518 +/- 0.182","-0.950","0.090 +/- 0.000","-3.474",2,4.7
1510,"Q9H3K6","BOLA2","BolA-like protein 2 ",1,"Non-Exosome","0.886"," 0.647 +/- 0.013","-0.629","0.533 +/- 0.047","-0.907",2,18.6
1511,"Q9H3M7","TXNIP","Thioredoxin-interacting protein ",1,"Non-Exosome","0.917"," 0.660 +/- 0.060","-0.599","0.360 +/- 0.290","-1.474",2,5.6
1512,"Q9H3N1","TMX1","Thioredoxin-related transmembrane protein 1 ",1,"Non-Exosome","0.903"," 0.362 +/- 0.047","-1.468","0.217 +/- 0.013","-2.206",8,26.8
1513,"Q9H3U1-2","UNC45A","Isoform 2 of Protein unc-45 homolog A ",1,"Non-Exosome","0.916"," 0.650 +/- 0.110","-0.621","0.295 +/- 0.115","-1.761",2,3.1
1514,"P59074","CHMP4BP1","Putative charged multivesicular body protein 4B-like protein CHMP4BP1 ",0.0147,"Exosome","0.853"," 2.107 +/- 0.188"," 1.076","1.353 +/- 0.097"," 0.436",2,0
1515,"Q9H444","CHMP4B","Charged multivesicular body protein 4b ",1,"Exosome","0.817"," 1.860 +/- 0.053"," 0.895","1.207 +/- 0.025"," 0.271",7,44.6
1516,"Q9NZN3","EHD3","EH domain-containing protein 3 ",0.0267,"Non-Exosome","0.918"," 0.658 +/- 0.123","-0.604","0.346 +/- 0.089","-1.531",6,0
1517,"Q9H4M9","EHD1","EH domain-containing protein 1 ",1,"Non-Exosome","0.895"," 0.770 +/- 0.079","-0.378","0.402 +/- 0.091","-1.314",12,25.1
1518,"Q9NZN4","EHD2","EH domain-containing protein 2 ",1,"Non-Exosome","0.919"," 0.639 +/- 0.021","-0.645","0.355 +/- 0.052","-1.493",10,16.9
1519,"Q9H5V8","CDCP1","CUB domain-containing protein 1 ",1,"Non-Exosome","0.596"," 1.146 +/- 0.126"," 0.197","0.732 +/- 0.002","-0.450",5,4.8
1520,"Q9H6R4-2","NOL6","Isoform 2 of Nucleolar protein 6 ",1,"Non-Exosome","0.764"," 0.178 +/- 0.062","-2.494","0.178 +/- 0.042","-2.494",2,2
1521,"Q9H6S3-3","EPS8L2","Isoform 3 of Epidermal growth factor receptor kinase substrate 8-like protein 2 ",1,"Non-Exosome","0.857"," 0.885 +/- 0.028","-0.177","0.454 +/- 0.281","-1.139",6,9.1
1522,"Q9H7B2","RPF2","Ribosome production factor 2 homolog ",1,"Non-Exosome","0.851"," 0.290 +/- 0.000","-1.786","0.168 +/- 0.052","-2.578",2,8.2
1523,"Q9H7D0","DOCK5","Dedicator of cytokinesis protein 5 ",1,"Non-Exosome","0.921"," 0.435 +/- 0.025","-1.201","0.420 +/- 0.160","-1.252",1,1.8
1524,"Q9H7D7-2","WDR26","Isoform 2 of WD repeat-containing protein 26 ",1,"Non-Exosome","0.750"," 1.025 +/- 0.435"," 0.036","0.585 +/- 0.305","-0.773",2,2.9
1525,"Q9H845","ACAD9","Acyl-CoA dehydrogenase family member 9; mitochondrial ",1,"Non-Exosome","0.871"," 0.412 +/- 0.058","-1.280","0.165 +/- 0.055","-2.599",2,4.3
1526,"Q9H936","SLC25A22","Mitochondrial glutamate carrier 1 ",1,"Non-Exosome","0.908"," 0.390 +/- 0.037","-1.359","0.219 +/- 0.021","-2.191",6,16.7
1527,"H0Y9J5","SFXN1","Sideroflexin-1 (Fragment) ",0.0097,"Non-Exosome","0.909"," 0.632 +/- 0.084","-0.661","0.448 +/- 0.209","-1.160",1,0
1528,"Q9H9B4","SFXN1","Sideroflexin-1 ",1,"Non-Exosome","0.923"," 0.487 +/- 0.036","-1.039","0.261 +/- 0.068","-1.938",8,37.6
1529,"Q9H9H4","VPS37B","Vacuolar protein sorting-associated protein 37B ",1,"Non-Exosome","0.617"," 1.482 +/- 0.321"," 0.567","0.521 +/- 0.184","-0.940",8,42.5
