"Uniprot Accession","Protein Description","Gene Symbol","Protein Group","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","SVM Classification","SVM Probability"
"Q9BXS5-2","Isoform 2 of AP-1 complex subunit mu-1 ","AP1M1",1492," 0.520 +/- 0.080","-0.943","0.238 +/- 0.002","-2.069","Non-Exosome","0.916"
"Q9BXW7-2","Isoform 1 of Cat eye syndrome critical region protein 5 ","CECR5",1493," 0.372 +/- 0.122","-1.425","0.255 +/- 0.015","-1.971","Non-Exosome","0.916"
"Q9BY44","Eukaryotic translation initiation factor 2A ","EIF2A",1494," 0.346 +/- 0.049","-1.532","0.311 +/- 0.036","-1.686","Non-Exosome","0.916"
"Q9BYG3","MKI67 FHA domain-interacting nucleolar phosphoprotein ","NIFK",1495," 0.460 +/- 0.220","-1.120","0.155 +/- 0.135","-2.690","Non-Exosome","0.857"
"Q9BZE1","39S ribosomal protein L37; mitochondrial ","MRPL37",1496," 0.710 +/- 0.115","-0.494","0.310 +/- 0.145","-1.690","Non-Exosome","0.909"
"Q9BZE4","Nucleolar GTP-binding protein 1 ","GTPBP4",1497," 0.391 +/- 0.050","-1.353","0.254 +/- 0.054","-1.975","Non-Exosome","0.918"
"Q9BZF1-2","Isoform 2 of Oxysterol-binding protein-related protein 8 ","OSBPL8",1498," 0.380 +/- 0.180","-1.396","0.550 +/- 0.110","-0.862","Non-Exosome","0.884"
"Q9BZX2","Uridine-cytidine kinase 2 ","UCK2",1499," 0.540 +/- 0.050","-0.889","0.315 +/- 0.005","-1.667","Non-Exosome","0.927"
"Q9GZM7-3","Isoform 3 of Tubulointerstitial nephritis antigen-like ","TINAGL1",1500," 1.747 +/- 0.193"," 0.805","0.803 +/- 0.142","-0.316","Exosome","0.659"
"Q9GZT3-2","Isoform 2 of SRA stem-loop-interacting RNA-binding protein; mitochondrial ","SLIRP",1501," 0.138 +/- 0.022","-2.862","0.185 +/- 0.065","-2.434","Non-Exosome","0.694"
"Q9H0A0-2","Isoform 2 of N-acetyltransferase 10 ","NAT10",1502," 0.421 +/- 0.034","-1.249","0.191 +/- 0.004","-2.390","Non-Exosome","0.894"
"G3V2P7","Kinesin light chain 1 (Fragment) ","KLC1",1503," 0.635 +/- 0.095","-0.655","0.490 +/- 0.170","-1.029","Non-Exosome","0.899"
"Q07866-10","Isoform D of Kinesin light chain 1 ","KLC1",1504," 0.539 +/- 0.124","-0.892","0.289 +/- 0.049","-1.792","Non-Exosome","0.925"
"Q9H0B6","Kinesin light chain 2 ","KLC2",1505," 0.438 +/- 0.012","-1.190","0.177 +/- 0.073","-2.501","Non-Exosome","0.882"
"Q03518","Antigen peptide transporter 1 ","TAP1",1506," 0.405 +/- 0.005","-1.304","0.135 +/- 0.015","-2.889","Non-Exosome","0.826"
"Q9H0D6","5'-3' exoribonuclease 2 ","XRN2",1507," 0.402 +/- 0.045","-1.316","0.115 +/- 0.032","-3.120","Non-Exosome","0.782"
"Q9H0H5","Rac GTPase-activating protein 1 ","RACGAP1",1508," 0.896 +/- 0.018","-0.159","0.484 +/- 0.011","-1.046","Non-Exosome","0.843"
"Q9H330-2","Isoform 2 of Transmembrane protein 245 ","TMEM245",1509," 0.518 +/- 0.182","-0.950","0.090 +/- 0.000","-3.474","Non-Exosome","0.694"
"Q9H3K6","BolA-like protein 2 ","BOLA2",1510," 0.647 +/- 0.013","-0.629","0.533 +/- 0.047","-0.907","Non-Exosome","0.885"
"Q9H3M7","Thioredoxin-interacting protein ","TXNIP",1511," 0.660 +/- 0.060","-0.599","0.360 +/- 0.290","-1.474","Non-Exosome","0.916"
"Q9H3N1","Thioredoxin-related transmembrane protein 1 ","TMX1",1512," 0.362 +/- 0.047","-1.468","0.217 +/- 0.013","-2.206","Non-Exosome","0.903"
"Q9H3U1-2","Isoform 2 of Protein unc-45 homolog A ","UNC45A",1513," 0.650 +/- 0.110","-0.621","0.295 +/- 0.115","-1.761","Non-Exosome","0.916"
"P59074","Putative charged multivesicular body protein 4B-like protein CHMP4BP1 ","CHMP4BP1",1514," 2.107 +/- 0.188"," 1.076","1.353 +/- 0.097"," 0.436","Exosome","0.852"
"Q9H444","Charged multivesicular body protein 4b ","CHMP4B",1515," 1.860 +/- 0.053"," 0.895","1.207 +/- 0.025"," 0.271","Exosome","0.817"
"Q9NZN3","EH domain-containing protein 3 ","EHD3",1516," 0.658 +/- 0.123","-0.604","0.346 +/- 0.089","-1.531","Non-Exosome","0.917"
"Q9H4M9","EH domain-containing protein 1 ","EHD1",1517," 0.770 +/- 0.079","-0.378","0.402 +/- 0.091","-1.314","Non-Exosome","0.894"
"Q9NZN4","EH domain-containing protein 2 ","EHD2",1518," 0.639 +/- 0.021","-0.645","0.355 +/- 0.052","-1.493","Non-Exosome","0.919"
"Q9H5V8","CUB domain-containing protein 1 ","CDCP1",1519," 1.146 +/- 0.126"," 0.197","0.732 +/- 0.002","-0.450","Non-Exosome","0.595"
"Q9H6R4-2","Isoform 2 of Nucleolar protein 6 ","NOL6",1520," 0.178 +/- 0.062","-2.494","0.178 +/- 0.042","-2.494","Non-Exosome","0.763"
"Q9H6S3-3","Isoform 3 of Epidermal growth factor receptor kinase substrate 8-like protein 2 ","EPS8L2",1521," 0.885 +/- 0.028","-0.177","0.454 +/- 0.281","-1.139","Non-Exosome","0.856"
"Q9H7B2","Ribosome production factor 2 homolog ","RPF2",1522," 0.290 +/- 0.000","-1.786","0.168 +/- 0.052","-2.578","Non-Exosome","0.850"
"Q9H7D0","Dedicator of cytokinesis protein 5 ","DOCK5",1523," 0.435 +/- 0.025","-1.201","0.420 +/- 0.160","-1.252","Non-Exosome","0.920"
"Q9H7D7-2","Isoform 2 of WD repeat-containing protein 26 ","WDR26",1524," 1.025 +/- 0.435"," 0.036","0.585 +/- 0.305","-0.773","Non-Exosome","0.749"
"Q9H845","Acyl-CoA dehydrogenase family member 9; mitochondrial ","ACAD9",1525," 0.412 +/- 0.058","-1.280","0.165 +/- 0.055","-2.599","Non-Exosome","0.870"
"Q9H936","Mitochondrial glutamate carrier 1 ","SLC25A22",1526," 0.390 +/- 0.037","-1.359","0.219 +/- 0.021","-2.191","Non-Exosome","0.907"
"H0Y9J5","Sideroflexin-1 (Fragment) ","SFXN1",1527," 0.632 +/- 0.084","-0.661","0.448 +/- 0.209","-1.160","Non-Exosome","0.908"
"Q9H9B4","Sideroflexin-1 ","SFXN1",1528," 0.487 +/- 0.036","-1.039","0.261 +/- 0.068","-1.938","Non-Exosome","0.923"
"Q9H9H4","Vacuolar protein sorting-associated protein 37B ","VPS37B",1529," 1.482 +/- 0.321"," 0.567","0.521 +/- 0.184","-0.940","Non-Exosome","0.616"
"Q9HAC8","Ubiquitin domain-containing protein 1 ","UBTD1",1530," 1.480 +/- 0.060"," 0.566","0.930 +/- 0.150","-0.105","Exosome","0.661"
"Q9HAU5","Regulator of nonsense transcripts 2 ","UPF2",1531," 1.083 +/- 0.507"," 0.114","0.050 +/- 0.030","-4.322",NA,"0.500"
"Q9HAV7","GrpE protein homolog 1; mitochondrial ","GRPEL1",1532," 0.364 +/- 0.002","-1.459","0.171 +/- 0.049","-2.548","Non-Exosome","0.873"
"Q9HB07","UPF0160 protein MYG1; mitochondrial ","C12orf10",1533," 0.499 +/- 0.001","-1.002","0.374 +/- 0.054","-1.418","Non-Exosome","0.927"
"Q9HB71","Calcyclin-binding protein ","CACYBP",1534," 0.465 +/- 0.018","-1.105","0.298 +/- 0.028","-1.748","Non-Exosome","0.928"
"Q9HBH0","Rho-related GTP-binding protein RhoF ","RHOF",1535," 0.941 +/- 0.197","-0.088","0.683 +/- 0.073","-0.550","Non-Exosome","0.724"
"Q9HD42","Charged multivesicular body protein 1a ","CHMP1A",1536," 1.068 +/- 0.102"," 0.095","0.726 +/- 0.066","-0.461","Non-Exosome","0.639"
"Q9HD67","Unconventional myosin-X ","MYO10",1537," 0.490 +/- 0.190","-1.029","0.645 +/- 0.175","-0.633","Non-Exosome","0.865"
"H0Y512","Adipocyte plasma membrane-associated protein (Fragment) ","APMAP",1538," 0.487 +/- 0.014","-1.039","0.254 +/- 0.043","-1.979","Non-Exosome","0.921"
"Q9HDC9","Adipocyte plasma membrane-associated protein ","APMAP",1539," 0.487 +/- 0.014","-1.039","0.254 +/- 0.043","-1.979","Non-Exosome","0.921"
"Q9NP72","Ras-related protein Rab-18 ","RAB18",1540," 0.628 +/- 0.112","-0.672","0.328 +/- 0.048","-1.610","Non-Exosome","0.921"
"Q9NP79","Vacuolar protein sorting-associated protein VTA1 homolog ","VTA1",1541," 1.151 +/- 0.081"," 0.203","1.273 +/- 0.207"," 0.348","Exosome","0.687"
"Q9NP84","Tumor necrosis factor receptor superfamily member 12A ","TNFRSF12A",1542," 0.938 +/- 0.192","-0.092","0.548 +/- 0.012","-0.867","Non-Exosome","0.802"
"Q9NPH3-5","Isoform 4 of Interleukin-1 receptor accessory protein ","IL1RAP",1543," 1.329 +/- 0.129"," 0.410","0.869 +/- 0.139","-0.203","Exosome","0.579"
"Q96HJ9-2","Isoform 2 of UPF0562 protein C7orf55 ","C7orf55",1544," 0.395 +/- 0.005","-1.340","0.258 +/- 0.048","-1.957","Non-Exosome","0.919"
"Q9NQ29-2","Isoform 2 of Putative RNA-binding protein Luc7-like 1 ","LUC7L",1545," 0.395 +/- 0.005","-1.340","0.300 +/- 0.090","-1.737","Non-Exosome","0.924"
"Q9NQX7-2","Isoform 2 of Integral membrane protein 2C ","ITM2C",1546," 1.025 +/- 0.135"," 0.036","0.752 +/- 0.312","-0.410","Non-Exosome","0.642"
"Q9NR28-2","Isoform 2 of Diablo homolog; mitochondrial ","DIABLO",1547," 0.380 +/- 0.120","-1.396","0.335 +/- 0.185","-1.578","Non-Exosome","0.922"
"Q9NR31","GTP-binding protein SAR1a ","SAR1A",1548," 0.302 +/- 0.028","-1.725","0.172 +/- 0.028","-2.535","Non-Exosome","0.860"
"Q9NRX1","RNA-binding protein PNO1 ","PNO1",1549," 0.402 +/- 0.128","-1.313","0.185 +/- 0.055","-2.434","Non-Exosome","0.888"
"Q9NSD9","Phenylalanine--tRNA ligase beta subunit ","FARSB",1550," 0.487 +/- 0.007","-1.039","0.268 +/- 0.098","-1.902","Non-Exosome","0.924"
"Q9NSE4","Isoleucine--tRNA ligase; mitochondrial ","IARS2",1551," 0.449 +/- 0.048","-1.155","0.259 +/- 0.038","-1.947","Non-Exosome","0.923"
"Q12965","Unconventional myosin-Ie ","MYO1E",1552," 0.560 +/- 0.260","-0.837","0.078 +/- 0.052","-3.690","Non-Exosome","0.644"
"Q9NTI5-2","Isoform 2 of Sister chromatid cohesion protein PDS5 homolog B ","PDS5B",1553," 0.705 +/- 0.300","-0.504","0.212 +/- 0.002","-2.234","Non-Exosome","0.880"
"Q9NTJ3","Structural maintenance of chromosomes protein 4 ","SMC4",1554," 0.466 +/- 0.051","-1.102","0.204 +/- 0.001","-2.292","Non-Exosome","0.902"
"Q9NTJ5","Phosphatidylinositide phosphatase SAC1 ","SACM1L",1555," 0.387 +/- 0.063","-1.371","0.182 +/- 0.022","-2.454","Non-Exosome","0.885"
"Q9NTK5-2","Isoform 2 of Obg-like ATPase 1 ","OLA1",1556," 0.750 +/- 0.290","-0.415","0.510 +/- 0.370","-0.971","Non-Exosome","0.872"
"Q9NTK5","Obg-like ATPase 1 ","OLA1",1557," 0.622 +/- 0.046","-0.686","0.296 +/- 0.158","-1.758","Non-Exosome","0.919"
"Q9NU22","Midasin ","MDN1",1558," 1.320 +/- 0.980"," 0.401","0.465 +/- 0.305","-1.105","Non-Exosome","0.707"
"Q9NUQ3","Gamma-taxilin ","TXLNG",1559," 1.090 +/- 0.286"," 0.125","1.069 +/- 0.347"," 0.097","Exosome","0.585"
"Q9NUQ9","Protein FAM49B ","FAM49B",1560," 0.645 +/- 0.115","-0.633","0.280 +/- 0.090","-1.837","Non-Exosome","0.914"
"Q9NUU7","ATP-dependent RNA helicase DDX19A ","DDX19A",1561," 0.370 +/- 0.160","-1.434","0.213 +/- 0.047","-2.229","Non-Exosome","0.902"
"Q9NV96-2","Isoform 2 of Cell cycle control protein 50A ","TMEM30A",1562," 0.505 +/- 0.165","-0.986","0.375 +/- 0.080","-1.415","Non-Exosome","0.927"
"Q16181-2","Isoform 2 of Septin-7 ","SEPT7",1563," 0.813 +/- 0.048","-0.298","0.382 +/- 0.058","-1.386","Non-Exosome","0.888"
"Q9NVA2-2","Isoform 2 of Septin-11 ","SEPT11",1564," 0.859 +/- 0.006","-0.219","0.409 +/- 0.010","-1.290","Non-Exosome","0.874"
"Q9NVD7","Alpha-parvin ","PARVA",1565," 0.640 +/- 0.070","-0.644","0.568 +/- 0.218","-0.817","Non-Exosome","0.875"
"Q5T2N8","ATPase family AAA domain-containing protein 3C ","ATAD3C",1566," 0.416 +/- 0.024","-1.267","0.164 +/- 0.001","-2.604","Non-Exosome","0.869"
"Q9NVI7-2","Isoform 2 of ATPase family AAA domain-containing protein 3A ","ATAD3A",1567," 0.422 +/- 0.025","-1.244","0.230 +/- 0.042","-2.118","Non-Exosome","0.914"
"Q9NVJ2","ADP-ribosylation factor-like protein 8B ","ARL8B",1568," 0.623 +/- 0.145","-0.683","0.395 +/- 0.067","-1.339","Non-Exosome","0.917"
"Q9NVP1","ATP-dependent RNA helicase DDX18 ","DDX18",1569," 0.944 +/- 0.549","-0.083","0.724 +/- 0.399","-0.466","Non-Exosome","0.696"
"Q9NWZ5-4","Isoform 4 of Uridine-cytidine kinase-like 1 ","UCKL1",1570," 0.895 +/- 0.075","-0.160","0.655 +/- 0.475","-0.610","Non-Exosome","0.761"
"Q9NX14-2","Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11; mitochondrial ","NDUFB11",1571," 0.272 +/- 0.048","-1.876","0.165 +/- 0.015","-2.599","Non-Exosome","0.840"
"Q9NX24","H/ACA ribonucleoprotein complex subunit 2 ","NHP2",1572," 0.985 +/- 0.265","-0.022","0.752 +/- 0.522","-0.410","Non-Exosome","0.658"
"Q9NX40-2","Isoform 2 of OCIA domain-containing protein 1 ","OCIAD1",1573," 0.584 +/- 0.091","-0.776","0.342 +/- 0.095","-1.548","Non-Exosome","0.925"
"Q9NX63","Coiled-coil-helix-coiled-coil-helix domain-containing protein 3; mitochondrial ","CHCHD3",1574," 0.255 +/- 0.085","-1.971","0.182 +/- 0.002","-2.454","Non-Exosome","0.846"
"Q9NXE4-2","Isoform 2 of Sphingomyelin phosphodiesterase 4 ","SMPD4",1575," 0.222 +/- 0.092","-2.168","0.135 +/- 0.015","-2.889","Non-Exosome","0.767"
"Q9NXF1-2","Isoform 2 of Testis-expressed sequence 10 protein ","TEX10",1576," 0.315 +/- 0.135","-1.667","0.145 +/- 0.015","-2.786","Non-Exosome","0.831"
"D6RAZ7","Claudin domain-containing protein 1 ","CLDND1",1577," 1.455 +/- 0.925"," 0.541","1.180 +/- 0.110"," 0.239","Exosome","0.750"
"Q9NY35-2","Isoform 2 of Claudin domain-containing protein 1 ","CLDND1",1578," 1.237 +/- 0.077"," 0.306","0.978 +/- 0.018","-0.033","Exosome","0.603"
"Q9NYL9","Tropomodulin-3 ","TMOD3",1579," 0.543 +/- 0.030","-0.881","0.305 +/- 0.022","-1.715","Non-Exosome","0.926"
"Q9NYU1","UDP-glucose:glycoprotein glucosyltransferase 2 ","UGGT2",1580," 0.252 +/- 0.052","-1.986","0.102 +/- 0.062","-3.286","Non-Exosome","0.718"
"Q9NYU2-2","Isoform 2 of UDP-glucose:glycoprotein glucosyltransferase 1 ","UGGT1",1581," 0.327 +/- 0.002","-1.614","0.176 +/- 0.050","-2.505","Non-Exosome","0.870"
"M0QXM3","Very-long-chain enoyl-CoA reductase (Fragment) ","TECR",1582," 0.325 +/- 0.067","-1.620","0.257 +/- 0.043","-1.959","Non-Exosome","0.907"
"Q9NZ01","Very-long-chain enoyl-CoA reductase ","TECR",1583," 0.325 +/- 0.019","-1.622","0.222 +/- 0.028","-2.175","Non-Exosome","1.000"
"Q9NZ08-2","Isoform 2 of Endoplasmic reticulum aminopeptidase 1 ","ERAP1",1584," 0.435 +/- 0.051","-1.202","0.198 +/- 0.016","-2.339","Non-Exosome","0.898"
"Q9NZB2-4","Isoform D of Constitutive coactivator of PPAR-gamma-like protein 1 ","FAM120A",1585," 0.628 +/- 0.102","-0.672","0.170 +/- 0.010","-2.556","Non-Exosome","0.856"
"Q9NZJ7-2","Isoform 2 of Mitochondrial carrier homolog 1 ","MTCH1",1586," 0.345 +/- 0.165","-1.535","0.175 +/- 0.115","-2.515","Non-Exosome","0.873"
"Q9NZM1-6","Isoform 6 of Myoferlin ","MYOF",1587," 0.629 +/- 0.038","-0.669","0.342 +/- 0.038","-1.549","Non-Exosome","0.920"
"Q15811-10","Isoform 10 of Intersectin-1 ","ITSN1",1588," 1.955 +/- 0.775"," 0.967","0.670 +/- 0.360","-0.578","Exosome","0.619"
"Q9NZM3-2","Isoform 2 of Intersectin-2 ","ITSN2",1589," 2.348 +/- 1.103"," 1.231","1.455 +/- 0.740"," 0.541","Exosome","0.868"
"H3BLZ2","Dysbindin domain-containing protein 1 ","DBNDD1",1590," 1.638 +/- 0.138"," 0.711","1.367 +/- 0.013"," 0.452","Exosome","0.818"
"Q9NZZ3-2","Isoform 2 of Charged multivesicular body protein 5 ","CHMP5",1591," 1.222 +/- 0.162"," 0.290","0.959 +/- 0.074","-0.060","Exosome","0.588"
"Q9P015","39S ribosomal protein L15; mitochondrial ","MRPL15",1592," 0.515 +/- 0.095","-0.957","0.135 +/- 0.075","-2.889","Non-Exosome","0.819"
"Q6FI81-3","Isoform 3 of Anamorsin ","CIAPIN1",1593," 0.545 +/- 0.065","-0.876","0.260 +/- 0.050","-1.943","Non-Exosome","0.920"
"Q969R5","Lethal(3)malignant brain tumor-like protein 2 ","L3MBTL2",1594," 0.545 +/- 0.065","-0.876","0.260 +/- 0.050","-1.943","Non-Exosome","0.920"
"Q9P035","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 ","PTPLAD1",1595," 0.359 +/- 0.002","-1.477","0.211 +/- 0.007","-2.242","Non-Exosome","0.900"
"Q9P0I2-2","Isoform 2 of ER membrane protein complex subunit 3 ","EMC3",1596," 0.525 +/- 0.185","-0.930","0.145 +/- 0.075","-2.786","Non-Exosome","0.836"
"Q9P0J0","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 ","NDUFA13",1597," 0.266 +/- 0.086","-1.911","0.117 +/- 0.003","-3.095","Non-Exosome","0.761"
"Q9Y6E0-2","Isoform A of Serine/threonine-protein kinase 24 ","STK24",1598," 0.473 +/- 0.135","-1.081","0.278 +/- 0.046","-1.847","Non-Exosome","0.926"
"Q9P289","Serine/threonine-protein kinase MST4 ","MST4",1599," 0.477 +/- 0.139","-1.068","0.262 +/- 0.030","-1.935","Non-Exosome","1.000"
"Q9P2E9-2","Isoform 1 of Ribosome-binding protein 1 ","RRBP1",1600," 0.438 +/- 0.048","-1.193","0.362 +/- 0.102","-1.464","Non-Exosome","0.927"
"Q9Y6Y8-2","Isoform 2 of SEC23-interacting protein ","SEC23IP",1601," 0.468 +/- 0.098","-1.097","0.370 +/- 0.090","-1.434","Non-Exosome","0.927"
"Q9P2J5","Leucine--tRNA ligase; cytoplasmic ","LARS",1602," 0.494 +/- 0.039","-1.017","0.227 +/- 0.008","-2.141","Non-Exosome","0.912"
"Q9P2R7-2","Isoform 2 of Succinyl-CoA ligase [ADP-forming] subunit beta; mitochondrial ","SUCLA2",1603," 0.405 +/- 0.005","-1.304","0.265 +/- 0.003","-1.915","Non-Exosome","0.921"
"Q9UBB4-2","Isoform 2 of Ataxin-10 ","ATXN10",1604," 0.438 +/- 0.012","-1.190","0.272 +/- 0.022","-1.880","Non-Exosome","0.924"
"Q9UBC2-2","Isoform 2 of Epidermal growth factor receptor substrate 15-like 1 ","EPS15L1",1605," 2.884 +/- 0.173"," 1.528","1.636 +/- 0.184"," 0.710","Exosome","0.877"
"Q9UBI6","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 ","GNG12",1606," 1.245 +/- 0.205"," 0.316","0.692 +/- 0.412","-0.530","Non-Exosome","0.579"
"Q9UBQ0-2","Isoform 2 of Vacuolar protein sorting-associated protein 29 ","VPS29",1607," 0.510 +/- 0.060","-0.971","0.370 +/- 0.030","-1.434","Non-Exosome","0.927"
"Q9UBU9","Nuclear RNA export factor 1 ","NXF1",1608," 0.303 +/- 0.063","-1.721","0.132 +/- 0.072","-2.925","Non-Exosome","0.805"
"Q9UDR5","Alpha-aminoadipic semialdehyde synthase; mitochondrial ","AASS",1609," 0.390 +/- 0.100","-1.358","0.230 +/- 0.030","-2.120","Non-Exosome","0.911"
"Q9UDW1","Cytochrome b-c1 complex subunit 9 ","UQCR10",1610," 0.431 +/- 0.096","-1.215","0.224 +/- 0.066","-2.160","Non-Exosome","0.912"
"Q9UDY2-2","Isoform A2 of Tight junction protein ZO-2 ","TJP2",1611," 0.435 +/- 0.015","-1.201","0.310 +/- 0.080","-1.690","Non-Exosome","0.928"
"Q9UFC0","Leucine-rich repeat and WD repeat-containing protein 1 ","LRWD1",1612," 0.200 +/- 0.060","-2.322","0.185 +/- 0.045","-2.434","Non-Exosome","0.799"
"Q9UH99-2","Isoform 2 of SUN domain-containing protein 2 ","SUN2",1613," 0.430 +/- 0.045","-1.218","0.282 +/- 0.028","-1.824","Non-Exosome","0.925"
"C9JQJ4","Septin-2 (Fragment) ","SEPT2",1614," 0.751 +/- 0.129","-0.413","0.389 +/- 0.014","-1.363","Non-Exosome","0.900"
"Q15019-2","Isoform 2 of Septin-2 ","SEPT2",1615," 0.756 +/- 0.046","-0.404","0.416 +/- 0.098","-1.267","Non-Exosome","0.895"
"Q9UHD8-2","Isoform 2 of Septin-9 ","SEPT9",1616," 0.706 +/- 0.044","-0.502","0.359 +/- 0.027","-1.480","Non-Exosome","0.910"
"Q9UHG3","Prenylcysteine oxidase 1 ","PCYOX1",1617," 0.315 +/- 0.050","-1.667","0.130 +/- 0.012","-2.943","Non-Exosome","0.805"
"Q9UHQ9","NADH-cytochrome b5 reductase 1 ","CYB5R1",1618," 0.398 +/- 0.148","-1.331","0.259 +/- 0.041","-1.950","Non-Exosome","0.920"
"Q9UHX1-2","Isoform 2 of Poly(U)-binding-splicing factor PUF60 ","PUF60",1619," 0.371 +/- 0.031","-1.430","0.174 +/- 0.001","-2.525","Non-Exosome","0.876"
"Q9UI30-2","Isoform 2 of tRNA methyltransferase 112 homolog ","TRMT112",1620," 0.472 +/- 0.138","-1.084","0.308 +/- 0.142","-1.697","Non-Exosome","0.929"
"Q9UIJ7","GTP:AMP phosphotransferase AK3; mitochondrial ","AK3",1621," 1.597 +/- 0.862"," 0.676","0.612 +/- 0.318","-0.707","Non-Exosome","0.507"
"Q9HCM2","Plexin-A4 ","PLXNA4",1622," 0.910 +/- 0.150","-0.136","0.555 +/- 0.175","-0.849","Non-Exosome","0.809"
"Q9UIW2","Plexin-A1 ","PLXNA1",1623," 1.377 +/- 0.021"," 0.462","0.553 +/- 0.097","-0.854","Non-Exosome","0.631"
"O75746-2","Isoform 2 of Calcium-binding mitochondrial carrier protein Aralar1 ","SLC25A12",1624," 0.386 +/- 0.006","-1.374","0.196 +/- 0.006","-2.354","Non-Exosome","0.895"
"Q9UJS0-2","Isoform 2 of Calcium-binding mitochondrial carrier protein Aralar2 ","SLC25A13",1625," 0.476 +/- 0.014","-1.072","0.187 +/- 0.007","-2.416","Non-Exosome","0.890"
"Q9UJV9","Probable ATP-dependent RNA helicase DDX41 ","DDX41",1626," 0.445 +/- 0.055","-1.168","0.130 +/- 0.020","-2.943","Non-Exosome","0.815"
"Q9UJZ1-2","Isoform 2 of Stomatin-like protein 2; mitochondrial ","STOML2",1627," 0.587 +/- 0.046","-0.768","0.261 +/- 0.011","-1.936","Non-Exosome","0.917"
"E9PM90","Vacuolar protein sorting-associated protein 28 homolog (Fragment) ","VPS28",1628," 1.144 +/- 0.152"," 0.194","0.667 +/- 0.127","-0.585","Non-Exosome","0.647"
"Q9UK41-2","Isoform 2 of Vacuolar protein sorting-associated protein 28 homolog ","VPS28",1629," 1.144 +/- 0.152"," 0.194","0.667 +/- 0.127","-0.585","Non-Exosome","0.647"
"Q9UKF6","Cleavage and polyadenylation specificity factor subunit 3 ","CPSF3",1630," 0.594 +/- 0.204","-0.751","0.375 +/- 0.005","-1.415","Non-Exosome","0.922"
"Q9UKS6","Protein kinase C and casein kinase substrate in neurons protein 3 ","PACSIN3",1631," 0.809 +/- 0.011","-0.305","0.728 +/- 0.232","-0.459","Non-Exosome","0.753"
"Q9UKV3-2","Isoform 2 of Apoptotic chromatin condensation inducer in the nucleus ","ACIN1",1632," 0.345 +/- 0.075","-1.535","0.210 +/- 0.040","-2.252","Non-Exosome","0.897"
"Q9UL15-2","Isoform 2 of BAG family molecular chaperone regulator 5 ","BAG5",1633," 0.612 +/- 0.032","-0.707","0.605 +/- 0.175","-0.725","Non-Exosome","0.867"
"Q9ULC5-3","Isoform 2 of Long-chain-fatty-acid--CoA ligase 5 ","ACSL5",1634," 0.434 +/- 0.010","-1.203","0.283 +/- 0.117","-1.821","Non-Exosome","0.926"
"Q9ULT8","E3 ubiquitin-protein ligase HECTD1 ","HECTD1",1635," 1.135 +/- 0.505"," 0.183","0.500 +/- 0.240","-1.000","Non-Exosome","0.755"
"Q6QEF8-2","Isoform 2 of Coronin-6 ","CORO6",1636," 0.228 +/- 0.108","-2.136","0.418 +/- 0.072","-1.260","Non-Exosome","0.838"
"Q9ULV4-2","Isoform 2 of Coronin-1C ","CORO1C",1637," 0.482 +/- 0.182","-1.052","0.310 +/- 0.025","-1.691","Non-Exosome","0.929"
"Q9UMS4","Pre-mRNA-processing factor 19 ","PRPF19",1638," 0.425 +/- 0.065","-1.234","0.156 +/- 0.020","-2.685","Non-Exosome","0.859"
"Q9UNF0-2","Isoform 2 of Protein kinase C and casein kinase substrate in neurons protein 2 ","PACSIN2",1639," 1.073 +/- 0.415"," 0.101","0.693 +/- 0.395","-0.530","Non-Exosome","0.658"
"Q9UNM6-2","Isoform 2 of 26S proteasome non-ATPase regulatory subunit 13 ","PSMD13",1640," 0.463 +/- 0.055","-1.111","0.299 +/- 0.051","-1.740","Non-Exosome","0.928"
"Q9UNX4","WD repeat-containing protein 3 ","WDR3",1641," 0.469 +/- 0.007","-1.092","0.275 +/- 0.035","-1.862","Non-Exosome","0.926"
"Q9UNZ2-5","Isoform 3 of NSFL1 cofactor p47 ","NSFL1C",1642," 0.280 +/- 0.070","-1.837","0.220 +/- 0.080","-2.184","Non-Exosome","0.880"
"Q9UPN3-2","Isoform 2 of Microtubule-actin cross-linking factor 1; isoforms 1/2/3/5 ","MACF1",1643," 0.650 +/- 0.040","-0.621","0.430 +/- 0.190","-1.218","Non-Exosome","0.909"
"Q9UQ80","Proliferation-associated protein 2G4 ","PA2G4",1644," 0.497 +/- 0.033","-1.008","0.288 +/- 0.044","-1.795","Non-Exosome","0.927"
"Q9UQE7","Structural maintenance of chromosomes protein 3 ","SMC3",1645," 0.568 +/- 0.152","-0.817","0.325 +/- 0.105","-1.621","Non-Exosome","0.926"
"Q9Y223-2","Isoform 2 of Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase ","GNE",1646," 0.645 +/- 0.135","-0.633","0.148 +/- 0.068","-2.761","Non-Exosome","0.820"
"Q9Y224","UPF0568 protein C14orf166 ","C14orf166",1647," 0.358 +/- 0.004","-1.483","0.211 +/- 0.039","-2.246","Non-Exosome","0.899"
