"Uniprot Accession","Gene Name","Description","Gene Ontology Classifications","SVM Classification"
"Q96FN4","CPNE2","Copine-2 ","","Non-Exosome"
"O75131","CPNE3","Copine-3 ","GO:0005829 Cytosol","Non-Exosome"
"Q86YQ8","CPNE8","Copine-8 ","","Exosome"
"Q8IWA5-2","SLC44A2","Isoform 2 of Choline transporter-like protein 2 ","","Exosome"
"Q8IWS0-3","PHF6","Isoform 3 of PHD finger protein 6 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q8IY21","DDX60","Probable ATP-dependent RNA helicase DDX60 ","","Non-Exosome"
"Q8IY81","FTSJ3","pre-rRNA processing protein FTSJ3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q8IZF2-2","GPR116","Isoform 2 of Probable G-protein coupled receptor 116 ","GO:0005886 Plasma Membrane","Exosome"
"Q8N1F7","NUP93","Nuclear pore complex protein Nup93 ","","Non-Exosome"
"Q8N2K0-2","ABHD12","Isoform 2 of Monoacylglycerol lipase ABHD12 ","","Non-Exosome"
"Q8N4H5-2","TOMM5","Isoform 2 of Mitochondrial import receptor subunit TOM5 homolog ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q8N5I2","ARRDC1","Arrestin domain-containing protein 1 ","","Non-Exosome"
"Q8N5K1","CISD2","CDGSH iron-sulfur domain-containing protein 2 ","","Non-Exosome"
"Q8N766-2","EMC1","Isoform 2 of ER membrane protein complex subunit 1 ","","Non-Exosome"
"Q8N9N7","LRRC57","Leucine-rich repeat-containing protein 57 ","","Exosome"
"Q8NBJ5","COLGALT1","Procollagen galactosyltransferase 1 ","","Non-Exosome"
"Q7Z5P4-2","HSD17B13","Isoform 1 of 17-beta-hydroxysteroid dehydrogenase 13 ","","Non-Exosome"
"Q8NBQ5","HSD17B11","Estradiol 17-beta-dehydrogenase 11 ","","Non-Exosome"
"Q8NBU5-2","ATAD1","Isoform 2 of ATPase family AAA domain-containing protein 1 ","","Non-Exosome"
"Q8NC56","LEMD2","LEM domain-containing protein 2 ","GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane","Non-Exosome"
"Q8NCN5","PDPR","Pyruvate dehydrogenase phosphatase regulatory subunit; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q9BQ52-4","ELAC2","Isoform 4 of Zinc phosphodiesterase ELAC protein 2 ","","Non-Exosome"
"Q8NE71-2","ABCF1","Isoform 2 of ATP-binding cassette sub-family F member 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q8NEW0","SLC30A7","Zinc transporter 7 ","","Non-Exosome"
"Q8NF37","LPCAT1","Lysophosphatidylcholine acyltransferase 1 ","","Non-Exosome"
"Q8NFJ5","GPRC5A","Retinoic acid-induced protein 3 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q8NFV4-4","ABHD11","Isoform 4 of Alpha/beta hydrolase domain-containing protein 11 ","","Non-Exosome"
"Q8NFW8","CMAS","N-acylneuraminate cytidylyltransferase ","","Non-Exosome"
"Q8NG11-2","TSPAN14","Isoform 2 of Tetraspanin-14 ","","Exosome"
"Q8NI27","THOC2","THO complex subunit 2 ","","Non-Exosome"
"Q8NI36","WDR36","WD repeat-containing protein 36 ","","Non-Exosome"
"Q8TCT9-2","HM13","Isoform 2 of Minor histocompatibility antigen H13 ","","Non-Exosome"
"Q8TCZ2-2","CD99L2","Isoform 2 of CD99 antigen-like protein 2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q8TDN6","BRIX1","Ribosome biogenesis protein BRX1 homolog ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q8TEM1","NUP210","Nuclear pore membrane glycoprotein 210 ","","Non-Exosome"
"Q8TEX9-2","IPO4","Isoform 2 of Importin-4 ","","Non-Exosome"
"Q8TF05-2","PPP4R1","Isoform 2 of Serine/threonine-protein phosphatase 4 regulatory subunit 1 ","","Non-Exosome"
"Q8WTT2","NOC3L","Nucleolar complex protein 3 homolog ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q8WTV0-2","SCARB1","Isoform 1 of Scavenger receptor class B member 1 ","GO:0005886 Plasma Membrane","Exosome"
"Q8WUM0","NUP133","Nuclear pore complex protein Nup133 ","","Non-Exosome"
"Q8WUM4-2","PDCD6IP","Isoform 2 of Programmed cell death 6-interacting protein ","GO:0005829 Cytosol","Exosome"
"Q8WUM4","PDCD6IP","Programmed cell death 6-interacting protein ","GO:0005829 Cytosol","Exosome"
"Q8WWI5-2","SLC44A1","Isoform 2 of Choline transporter-like protein 1 ","","Non-Exosome"
"Q9Y2G1-2","MYRF","Isoform 2 of Myelin regulatory factor ","","Non-Exosome"
"Q8WWY3-2","PRPF31","Isoform 2 of U4/U6 small nuclear ribonucleoprotein Prp31 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q8WYA6","CTNNBL1","Beta-catenin-like protein 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q92499","DDX1","ATP-dependent RNA helicase DDX1 ","","Non-Exosome"
"Q92542-2","NCSTN","Isoform 2 of Nicastrin ","GO:0031090 Organelle Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q92552-2","MRPS27","Isoform 2 of 28S ribosomal protein S27; mitochondrial ","","Non-Exosome"
"Q92597","NDRG1","Protein NDRG1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q13555-10","CAMK2G","Isoform 10 of Calcium/calmodulin-dependent protein kinase type II subunit gamma ","GO:0031090 Organelle Membrane","Non-Exosome"
"Q13557-3","CAMK2D","Isoform Delta 3 of Calcium/calmodulin-dependent protein kinase type II subunit delta ","GO:0031090 Organelle Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"B4DY72","HSPH1","Heat shock protein 105 kDa ","","Non-Exosome"
"Q13557-10","CAMK2D","Isoform Delta 10 of Calcium/calmodulin-dependent protein kinase type II subunit delta ","GO:0031090 Organelle Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P34932","HSPA4","Heat shock 70 kDa protein 4 ","","Non-Exosome"
"Q92598-2","HSPH1","Isoform Beta of Heat shock protein 105 kDa ","","Non-Exosome"
"Q92621","NUP205","Nuclear pore complex protein Nup205 ","","Non-Exosome"
"H7C3W2","PXDN","Peroxidasin homolog (Fragment) ","","Non-Exosome"
"Q92626","PXDN","Peroxidasin homolog ","","Exosome"
"Q92688","ANP32B","Acidic leucine-rich nuclear phosphoprotein 32 family member B ","","Non-Exosome"
"Q92692-2","PVRL2","Isoform Alpha of Nectin-2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q92878-2","RAD50","Isoform 2 of DNA repair protein RAD50 ","","Non-Exosome"
"Q92896-2","GLG1","Isoform 2 of Golgi apparatus protein 1 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane","Non-Exosome"
"Q92900-2","UPF1","Isoform 2 of Regulator of nonsense transcripts 1 ","","Non-Exosome"
"Q96AE4-2","FUBP1","Isoform 2 of Far upstream element-binding protein 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q92945","KHSRP","Far upstream element-binding protein 2 ","","Non-Exosome"
"Q96I24","FUBP3","Far upstream element-binding protein 3 ","","Non-Exosome"
"O14787-2","TNPO2","Isoform 2 of Transportin-2 ","","Non-Exosome"
"Q92973-2","TNPO1","Isoform 2 of Transportin-1 ","","Non-Exosome"
"Q92974-2","ARHGEF2","Isoform 2 of Rho guanine nucleotide exchange factor 2 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q969H8","C19orf10","UPF0556 protein C19orf10 ","","Non-Exosome"
"Q969V3-2","NCLN","Isoform 2 of Nicalin ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q96A33-2","CCDC47","Isoform 2 of Coiled-coil domain-containing protein 47 ","","Non-Exosome"
"Q96A65-2","EXOC4","Isoform 2 of Exocyst complex component 4 ","","Non-Exosome"
"Q96AC1-2","FERMT2","Isoform 2 of Fermitin family homolog 2 ","GO:0005886 Plasma Membrane","Exosome"
"Q96AP7","ESAM","Endothelial cell-selective adhesion molecule ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q96AY3","FKBP10","Peptidyl-prolyl cis-trans isomerase FKBP10 ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"Q96B97-2","SH3KBP1","Isoform 2 of SH3 domain-containing kinase-binding protein 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Exosome"
"Q96C19","EFHD2","EF-hand domain-containing protein D2 ","","Non-Exosome"
"Q96C36","PYCR2","Pyrroline-5-carboxylate reductase 2 ","","Non-Exosome"
"Q96CS7-2","PLEKHB2","Isoform 2 of Pleckstrin homology domain-containing family B member 2 ","","Non-Exosome"
"Q96CW1-2","AP2M1","Isoform 2 of AP-2 complex subunit mu ","GO:0031090 Organelle Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q96DV4","MRPL38","39S ribosomal protein L38; mitochondrial ","","Non-Exosome"
"Q96E11-8","MRRF","Isoform 8 of Ribosome-recycling factor; mitochondrial ","","Non-Exosome"
"Q96E11-2","MRRF","Isoform 2 of Ribosome-recycling factor; mitochondrial ","","Non-Exosome"
"Q96ER9-2","CCDC51","Isoform 2 of Coiled-coil domain-containing protein 51 ","","Non-Exosome"
"Q96EY1-2","DNAJA3","Isoform 2 of DnaJ homolog subfamily A member 3; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0005829 Cytosol","Non-Exosome"
"Q96EY5","MVB12A","Multivesicular body subunit 12A ","","Exosome"
"Q96FW1","OTUB1","Ubiquitin thioesterase OTUB1 ","","Non-Exosome"
"Q96GQ7","DDX27","Probable ATP-dependent RNA helicase DDX27 ","","Non-Exosome"
"Q96H55-4","MYO19","Isoform 4 of Unconventional myosin-XIX ","","Non-Exosome"
"Q96HC4-4","PDLIM5","Isoform 4 of PDZ and LIM domain protein 5 ","GO:0005829 Cytosol","Non-Exosome"
"Q96HC4","PDLIM5","PDZ and LIM domain protein 5 ","GO:0005829 Cytosol","Non-Exosome"
"Q86YB8","ERO1LB","ERO1-like protein beta ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"Q96HE7","ERO1L","ERO1-like protein alpha ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"Q96HS1-2","PGAM5","Isoform 2 of Serine/threonine-protein phosphatase PGAM5; mitochondrial ","","Non-Exosome"
"Q96I99","SUCLG2","Succinyl-CoA ligase [GDP-forming] subunit beta; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q96KG7","MEGF10","Multiple epidermal growth factor-like domains protein 10 ","GO:0005886 Plasma Membrane","Exosome"
"Q96KP1","EXOC2","Exocyst complex component 2 ","","Non-Exosome"
"Q96N66-2","MBOAT7","Isoform 2 of Lysophospholipid acyltransferase 7 ","","Non-Exosome"
"Q96NE9-2","FRMD6","Isoform 2 of FERM domain-containing protein 6 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q96P70","IPO9","Importin-9 ","","Non-Exosome"
"Q96PK6","RBM14","RNA-binding protein 14 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"K7EK60","FMNL1","Formin-like protein 1 ","","Non-Exosome"
"O95466-2","FMNL1","Isoform 2 of Formin-like protein 1 ","","Non-Exosome"
"Q96PY5-3","FMNL2","Isoform 2 of Formin-like protein 2 ","","Non-Exosome"
"Q96Q11-2","TRNT1","Isoform 2 of CCA tRNA nucleotidyltransferase 1; mitochondrial ","","Non-Exosome"
"Q96QD8-2","SLC38A2","Isoform 2 of Sodium-coupled neutral amino acid transporter 2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q96RT1-2","ERBB2IP","Isoform 2 of Protein LAP2 ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Non-Exosome"
"Q96S97","MYADM","Myeloid-associated differentiation marker ","","Non-Exosome"
"O95155-2","UBE4B","Isoform 2 of Ubiquitin conjugation factor E4 B ","","Non-Exosome"
"Q96TA1-2","FAM129B","Isoform 2 of Niban-like protein 1 ","","Non-Exosome"
"Q99426","TBCB","Tubulin-folding cofactor B ","","Non-Exosome"
"Q99442","SEC62","Translocation protein SEC62 ","","Non-Exosome"
"Q99460-2","PSMD1","Isoform 2 of 26S proteasome non-ATPase regulatory subunit 1 ","","Non-Exosome"
"Q99497","PARK7","Protein DJ-1 ","GO:0005829 Cytosol","Non-Exosome"
"Q99536","VAT1","Synaptic vesicle membrane protein VAT-1 homolog ","","Non-Exosome"
"Q99613","EIF3C","Eukaryotic translation initiation factor 3 subunit C ","GO:0005829 Cytosol","Non-Exosome"
"Q99614","TTC1","Tetratricopeptide repeat protein 1 ","","Non-Exosome"
"Q99615","DNAJC7","DnaJ homolog subfamily C member 7 ","","Non-Exosome"
"Q99623","PHB2","Prohibitin-2 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q99714-2","HSD17B10","Isoform 2 of 3-hydroxyacyl-CoA dehydrogenase type-2 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q99720-3","SIGMAR1","Isoform 3 of Sigma non-opioid intracellular receptor 1 ","GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane; GO:0005789 Endoplasmic Reticulum Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q99816","TSG101","Tumor susceptibility gene 101 protein ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Exosome"
"Q99829","CPNE1","Copine-1 ","","Non-Exosome"
"Q99832-3","CCT7","Isoform 3 of T-complex protein 1 subunit eta ","GO:0005829 Cytosol","Non-Exosome"
"Q99873-2","PRMT1","Isoform 2 of Protein arginine N-methyltransferase 1 ","","Non-Exosome"
"Q99961","SH3GL1","Endophilin-A2 ","","Non-Exosome"
"Q9BPW8","NIPSNAP1","Protein NipSnap homolog 1 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9BQ67","GRWD1","Glutamate-rich WD repeat-containing protein 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9BQA1","WDR77","Methylosome protein 50 ","","Non-Exosome"
"Q13748-2","TUBA3C","Isoform 2 of Tubulin alpha-3C/D chain ","","Non-Exosome"
"Q13748","TUBA3C","Tubulin alpha-3C/D chain ","","Non-Exosome"
"Q71U36-2","TUBA1A","Isoform 2 of Tubulin alpha-1A chain ","GO:0005829 Cytosol","Non-Exosome"
"Q9H853","TUBA4B","Putative tubulin-like protein alpha-4B ","","Non-Exosome"
"A6NHL2-2","TUBAL3","Isoform 2 of Tubulin alpha chain-like 3 ","","Non-Exosome"
"P68363","TUBA1B","Tubulin alpha-1B chain ","","Non-Exosome"
"P68366-2","TUBA4A","Isoform 2 of Tubulin alpha-4A chain ","GO:0005829 Cytosol","Non-Exosome"
"Q9BQE3","TUBA1C","Tubulin alpha-1C chain ","","Non-Exosome"
"Q9BQG0-2","MYBBP1A","Isoform 2 of Myb-binding protein 1A ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9BRA2","TXNDC17","Thioredoxin domain-containing protein 17 ","GO:0005829 Cytosol","Non-Exosome"
"Q9BRG1","VPS25","Vacuolar protein-sorting-associated protein 25 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0031090 Organelle Membrane; GO:0010008 Endosome Membrane","Exosome"
"P43034","PAFAH1B1","Platelet-activating factor acetylhydrolase IB subunit alpha ","GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane; GO:0005829 Cytosol","Non-Exosome"
"Q9BS26","ERP44","Endoplasmic reticulum resident protein 44 ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen; GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"Q9BSJ8-2","ESYT1","Isoform 2 of Extended synaptotagmin-1 ","","Non-Exosome"
"Q9BT22","ALG1","Chitobiosyldiphosphodolichol beta-mannosyltransferase ","","Non-Exosome"
"Q9BT78","COPS4","COP9 signalosome complex subunit 4 ","","Non-Exosome"
"Q9BTT0-3","ANP32E","Isoform 3 of Acidic leucine-rich nuclear phosphoprotein 32 family member E ","","Non-Exosome"
"Q9BUJ2-2","HNRNPUL1","Isoform 2 of Heterogeneous nuclear ribonucleoprotein U-like protein 1 ","","Non-Exosome"
"Q9BUN8-2","DERL1","Isoform 2 of Derlin-1 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P06213-2","INSR","Isoform Short of Insulin receptor ","GO:0031090 Organelle Membrane; GO:0010008 Endosome Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q9BUQ8","DDX23","Probable ATP-dependent RNA helicase DDX23 ","","Non-Exosome"
"Q9BV40","VAMP8","Vesicle-associated membrane protein 8 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane","Non-Exosome"
"Q9BVG4","PBDC1","Protein PBDC1 ","","Non-Exosome"
"Q9BW27","NUP85","Nuclear pore complex protein Nup85 ","GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane","Non-Exosome"
"Q9BWM7","SFXN3","Sideroflexin-3 ","","Non-Exosome"
"Q9BWS9-2","CHID1","Isoform 2 of Chitinase domain-containing protein 1 ","","Non-Exosome"
"Q9BXJ9","NAA15","N-alpha-acetyltransferase 15; NatA auxiliary subunit ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9BXP5-2","SRRT","Isoform 2 of Serrate RNA effector molecule homolog ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9BXS5-2","AP1M1","Isoform 2 of AP-1 complex subunit mu-1 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q9BXW7-2","CECR5","Isoform 1 of Cat eye syndrome critical region protein 5 ","","Non-Exosome"
"Q9BY44","EIF2A","Eukaryotic translation initiation factor 2A ","","Non-Exosome"
"Q9BYG3","NIFK","MKI67 FHA domain-interacting nucleolar phosphoprotein ","","Non-Exosome"
"Q9BZE1","MRPL37","39S ribosomal protein L37; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q9BZE4","GTPBP4","Nucleolar GTP-binding protein 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9BZF1-2","OSBPL8","Isoform 2 of Oxysterol-binding protein-related protein 8 ","","Non-Exosome"
"Q9BZX2","UCK2","Uridine-cytidine kinase 2 ","GO:0005829 Cytosol","Non-Exosome"
"Q9GZM7-3","TINAGL1","Isoform 3 of Tubulointerstitial nephritis antigen-like ","","Exosome"
"Q9GZT3-2","SLIRP","Isoform 2 of SRA stem-loop-interacting RNA-binding protein; mitochondrial ","","Non-Exosome"
"Q9H0A0-2","NAT10","Isoform 2 of N-acetyltransferase 10 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"G3V2P7","KLC1","Kinesin light chain 1 (Fragment) ","GO:0005829 Cytosol","Non-Exosome"
"Q07866-10","KLC1","Isoform D of Kinesin light chain 1 ","GO:0005829 Cytosol","Non-Exosome"
"Q9H0B6","KLC2","Kinesin light chain 2 ","GO:0005829 Cytosol","Non-Exosome"
"Q03518","TAP1","Antigen peptide transporter 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9H0D6","XRN2","5'-3' exoribonuclease 2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9H0H5","RACGAP1","Rac GTPase-activating protein 1 ","","Non-Exosome"
"Q9H330-2","TMEM245","Isoform 2 of Transmembrane protein 245 ","","Non-Exosome"
"Q9H3K6","BOLA2","BolA-like protein 2 ","","Non-Exosome"
"Q9H3M7","TXNIP","Thioredoxin-interacting protein ","","Non-Exosome"
"Q9H3N1","TMX1","Thioredoxin-related transmembrane protein 1 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"Q9H3U1-2","UNC45A","Isoform 2 of Protein unc-45 homolog A ","","Non-Exosome"
"P59074","CHMP4BP1","Putative charged multivesicular body protein 4B-like protein CHMP4BP1 ","","Exosome"
"Q9H444","CHMP4B","Charged multivesicular body protein 4b ","GO:0005829 Cytosol","Exosome"
"Q9NZN3","EHD3","EH domain-containing protein 3 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9H4M9","EHD1","EH domain-containing protein 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9NZN4","EHD2","EH domain-containing protein 2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9H5V8","CDCP1","CUB domain-containing protein 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9H6R4-2","NOL6","Isoform 2 of Nucleolar protein 6 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9H6S3-3","EPS8L2","Isoform 3 of Epidermal growth factor receptor kinase substrate 8-like protein 2 ","","Non-Exosome"
"Q9H7B2","RPF2","Ribosome production factor 2 homolog ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9H7D0","DOCK5","Dedicator of cytokinesis protein 5 ","","Non-Exosome"
"Q9H7D7-2","WDR26","Isoform 2 of WD repeat-containing protein 26 ","","Non-Exosome"
"Q9H845","ACAD9","Acyl-CoA dehydrogenase family member 9; mitochondrial ","","Non-Exosome"
"Q9H936","SLC25A22","Mitochondrial glutamate carrier 1 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"H0Y9J5","SFXN1","Sideroflexin-1 (Fragment) ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9H9B4","SFXN1","Sideroflexin-1 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9H9H4","VPS37B","Vacuolar protein sorting-associated protein 37B ","","Non-Exosome"
"Q9HAC8","UBTD1","Ubiquitin domain-containing protein 1 ","","Exosome"
"Q9HAU5","UPF2","Regulator of nonsense transcripts 2 ","","Non-Exosome"
"Q9HAV7","GRPEL1","GrpE protein homolog 1; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q9HB07","C12orf10","UPF0160 protein MYG1; mitochondrial ","","Non-Exosome"
"Q9HB71","CACYBP","Calcyclin-binding protein ","","Non-Exosome"
"Q9HBH0","RHOF","Rho-related GTP-binding protein RhoF ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9HD42","CHMP1A","Charged multivesicular body protein 1a ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9HD67","MYO10","Unconventional myosin-X ","","Non-Exosome"
"H0Y512","APMAP","Adipocyte plasma membrane-associated protein (Fragment) ","","Non-Exosome"
"Q9HDC9","APMAP","Adipocyte plasma membrane-associated protein ","","Non-Exosome"
"Q9NP72","RAB18","Ras-related protein Rab-18 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9NP79","VTA1","Vacuolar protein sorting-associated protein VTA1 homolog ","","Exosome"
"Q9NP84","TNFRSF12A","Tumor necrosis factor receptor superfamily member 12A ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9NPH3-5","IL1RAP","Isoform 4 of Interleukin-1 receptor accessory protein ","GO:0005886 Plasma Membrane",NA
"Q96HJ9-2","C7orf55","Isoform 2 of UPF0562 protein C7orf55 ","","Non-Exosome"
"Q9NQ29-2","LUC7L","Isoform 2 of Putative RNA-binding protein Luc7-like 1 ","","Non-Exosome"
"Q9NQX7-2","ITM2C","Isoform 2 of Integral membrane protein 2C ","","Non-Exosome"
"Q9NR28-2","DIABLO","Isoform 2 of Diablo homolog; mitochondrial ","GO:0005829 Cytosol","Non-Exosome"
"Q9NR31","SAR1A","GTP-binding protein SAR1a ","","Non-Exosome"
"Q9NRX1","PNO1","RNA-binding protein PNO1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9NSD9","FARSB","Phenylalanine--tRNA ligase beta subunit ","GO:0005829 Cytosol","Non-Exosome"
"Q9NSE4","IARS2","Isoleucine--tRNA ligase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q12965","MYO1E","Unconventional myosin-Ie ","","Non-Exosome"
"Q9NTI5-2","PDS5B","Isoform 2 of Sister chromatid cohesion protein PDS5 homolog B ","","Non-Exosome"
"Q9NTJ3","SMC4","Structural maintenance of chromosomes protein 4 ","","Non-Exosome"
"Q9NTJ5","SACM1L","Phosphatidylinositide phosphatase SAC1 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"Q9NTK5-2","OLA1","Isoform 2 of Obg-like ATPase 1 ","","Non-Exosome"
"Q9NTK5","OLA1","Obg-like ATPase 1 ","","Non-Exosome"
"Q9NU22","MDN1","Midasin ","","Non-Exosome"
"Q9NUQ3","TXLNG","Gamma-taxilin ","","Exosome"
"Q9NUQ9","FAM49B","Protein FAM49B ","","Non-Exosome"
"Q9NUU7","DDX19A","ATP-dependent RNA helicase DDX19A ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9NV96-2","TMEM30A","Isoform 2 of Cell cycle control protein 50A ","","Non-Exosome"
"Q16181-2","SEPT7","Isoform 2 of Septin-7 ","","Non-Exosome"
"Q9NVA2-2","SEPT11","Isoform 2 of Septin-11 ","","Non-Exosome"
"Q9NVD7","PARVA","Alpha-parvin ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q5T2N8","ATAD3C","ATPase family AAA domain-containing protein 3C ","","Non-Exosome"
"Q9NVI7-2","ATAD3A","Isoform 2 of ATPase family AAA domain-containing protein 3A ","","Non-Exosome"
"Q9NVJ2","ARL8B","ADP-ribosylation factor-like protein 8B ","GO:0031090 Organelle Membrane; GO:0010008 Endosome Membrane","Non-Exosome"
"Q9NVP1","DDX18","ATP-dependent RNA helicase DDX18 ","","Non-Exosome"
"Q9NWZ5-4","UCKL1","Isoform 4 of Uridine-cytidine kinase-like 1 ","","Non-Exosome"
"Q9NX14-2","NDUFB11","Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
